Origen,Destino,Valor_Millones_USD,Descripcion
Usuarios Premium,Spotify,11561,Suscripciones 2023
Anunciantes,Spotify,1686,Publicidad usuarios free
Spotify,Derechos Musicales,7130,Royalties a sellos y artistas
Spotify,Operaciones,1450,Costos tecnologia y personal
Spotify,I+D y Marketing,895,Investigacion y marketing
Spotify,EBITDA,1074,Ganancia operativa 2023
Derechos Musicales,Grandes Sellos,5700,Universal Music Sony Warner
Derechos Musicales,Artistas Independientes,890,Artistas sin sello
Derechos Musicales,Distribuidoras Digitales,540,DistroKid TuneCore CD Baby
Grandes Sellos,Artistas Firmados,1710,30% promedio para artistas
