MODELO FINANCIERO SPOTIFY 2019-2025
Fuente: Spotify IR / MacroTrends / Spotify Newsroom

ESTADO DE RESULTADOS (en millones EUR)
Concepto,2019,2020,2021,2022,2023,2024,2025
Ingresos Totales,"6,764","7,880","9,668","11,727","13,247","15,610","17,100"
-- Ingresos Premium,"5,943","6,856","8,460","10,252","11,556","13,604","15,340"
-- Ingresos Publicidad,"821","1,024","1,208","1,475","1,691","2,006","1,830"
Costo de Ingresos (Regalias ~70%),"5,026","5,946","7,246","8,793","9,899","10,970","11,938"
Ganancia Bruta,"1,738","1,934","2,422","2,934","3,348","4,640","5,162"
Margen Bruto (%),"25.7%","24.5%","25.1%","25.0%","25.3%","29.7%","30.2%"
Gastos Operativos,"2,264","2,514","3,060","3,642","3,878","3,900","3,800"
Resultado Operativo,"-526","-580","-638","-708","-530","740","1,362"
Margen Operativo (%),"-7.8%","-7.4%","-6.6%","-6.0%","-4.0%","4.7%","7.9%"
Resultado Neto,"-186","-581","-34","-430","-532","1,140","2,500"
Margen Neto (%),"-2.8%","-7.4%","-0.4%","-3.7%","-4.0%","7.3%","14.6%"

BALANCE DE USUARIOS (en millones)
Concepto,2019,2020,2021,2022,2023,2024,2025
Usuarios Activos Mensuales (MAU),"271","345","406","456","602","678","751"
Suscriptores Premium,"124","155","172","205","236","268","290"
Usuarios Gratuitos (Ad-supported),"147","190","234","251","366","410","461"
Tasa de Conversion (Premium/MAU),"45.8%","44.9%","42.4%","44.9%","39.2%","39.5%","38.6%"

ARPU - INGRESO PROMEDIO POR USUARIO (EUR/mes)
Concepto,2019,2020,2021,2022,2023,2024,2025
ARPU Premium (mensual),"3.99","3.69","4.10","4.17","4.08","4.24","4.41"
ARPU Publicidad (mensual por usuario gratuito),"0.47","0.45","0.43","0.49","0.38","0.41","0.33"

HITOS FINANCIEROS CLAVE
Evento,Año,Detalle
IPO en NYSE,2018,"Cotizacion directa (Direct Listing) a $132/accion"
Primer beneficio operativo anual,2024,"Resultado operativo +€740 millones"
Primer beneficio neto anual,2024,"+€1.14 mil millones"
Precio accion (historico),2021,"Pico de $387 (noviembre 2021)"
Precio accion (2025),2025,"~$450-500 (recuperacion post-rentabilidad)"
Recorte de plantilla,2023,"17% de la fuerza laboral (~1,500 empleados)"
Adquisicion Joe Rogan,2020,"~$200 millones exclusividad podcast"
Meta ingresos 2032,2032,"$100,000 millones (objetivo declarado)"
